Inventory ID,Description,Item Class,Posting Class,Brand,Description,Item Group,Sub Item Group,Trading Group,Sub Trading Group,Conversion Factor,UOM,Profit Margin Target,Supplier
BIOOL0004,Bio-Oil Skincare oil 200ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,8,25ml Bottles,50%,Union Swiss
BIOOL0005,Bio-Oil Skincare Natural 25ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,1,25ml Bottles,50%,Union Swiss
BIOOL0006,Bio-Oil Skincare Natural 60ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,2,25ml Bottles,50%,Union Swiss
BIOOL0007,Bio-Oil Skincare Natural 125ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,5,25ml Bottles,50%,Union Swiss
BIOOL0008,Bio-Oil Skincare Natural 200ml,FINGOODS  -SKINCARE  -OIL   -BIO,SKINCARE,Bio Oil,FG-Skin Care-Oil-Bio Oil,Skincare ,,Partners,Trading,8,25ml Bottles,50%,Union Swiss
CONPA0001,Confidence Ultrathin TEEN 8's,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,128,Single Units,20%,Kim-Fay
CONPA0002,Confidence Ultrathin NORMAL 8's,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,128,Single Units,20%,Kim-Fay
CONPA0003,Confidence Ultrathin SUPER 7's,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,112,Single Units,20%,Kim-Fay
CONPA0004,Confidence Ultrathin NIGHT 7's,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,112,Single Units,20%,Kim-Fay
CONPA0005,Confidence Ultrathin NIGHT 2's - Sampling pack,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,500,Single Units,20%,Kim-Fay
CONPA0006,Confidence Ultrathin NORMAL 8's PROMO,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,128,Single Units,20%,Kim-Fay
CONPA0007,Confidence Ultrathin SUPER 7's PROMO,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,112,Single Units,20%,Kim-Fay
CONPA0008,Confidence Ultrathin TEEN 8's PROMO,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,128,Single Units,20%,Kim-Fay
CONPA0009,Confidence Ultrathin NIGHT 7's PROMO,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,112,Single Units,20%,Kim-Fay
CONPA0010,Fay Confidence U/thins Normal 8s,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,128,Single Units,20%,Kim-Fay
CONPA0011,Fay Confidence U/thins Super 7s,FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,112,Single Units,20%,Kim-Fay
CONPA0012,Confidence Ultrathin TEEN 8's (Singles),FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,8,Single Units,20%,Kim-Fay
CONPA0013,Confidence Ultrathin NIGHT 8's (Singles),FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,8,Single Units,20%,Kim-Fay
CONPA0014,Confidence Ultrathin SUPER 8's (Singles),FINGOODS  -FEMCARE   -SANPAD-CONF,FEMCARE,Confidence,FG-Femcare-Sanitary Pads-Confidence,Femcare,,Kimfay Brand,Trading,8,Single Units,20%,Kim-Fay
COSSE0001,Cosy Servt. 1ply Printed Roasters,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0002,Cosy Servt. 1ply Printed The Luke,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0003,Cosy Servt. 1 Ply 60x100 shts White,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,11.124,Kgs,40%,Kim-Fay
COSSE0004,Cosy Servt. 1 Ply 60x110 shts White,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,12.24,Kgs,40%,Kim-Fay
COSSE0005,Cosy Servt. 1ply Printed Blueberry,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0006,Cosy Servt. 1ply Printed Chicken HSE,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0007,Cosy Servt. 1ply Printed CHARLEYS,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0008,Cosy Servt. 1ply Printed Pepino's Pizza,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - Printed,Kimfay Brand,Manufactured,11.34,Kgs,40%,Kim-Fay
COSSE0009,Cosy Servt. 1ply 12x2x100shts,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,4.4496,Kgs,40%,Kim-Fay
COSSE0010,Cosy Servt. 1ply 12x2x110shts,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,4.89,Kgs,40%,Kim-Fay
COSSE0011,Cosy Servt. 1ply 18 x 110 shts White,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,3.71,Kgs,40%,Kim-Fay
COSSE0012,Cosy Servt. 1ply 18 x 100 shts White,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,3.37,Kgs,40%,Kim-Fay
COSSE0013,Cosy Servt. 1ply 18 x 100 shts White Prof,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,3.37,Kgs,40%,Kim-Fay
COSSE0014,Cosy Servt. 1 Ply 60x100 shts White Prof,FINGOODS  -TISSUE    -SERVIT-COSY,TISSUE,Cosy,FG-Tissue-Serviette-Cosy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,11.12,Kgs,40%,Kim-Fay
COSTP0001,Cosy TP Deca Roll 150M White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0002,Cosy TP Deca Roll 150M LC White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0003,Cosy TP Decaroll white 200M XLC,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,2.4,Bales of 40s,25%,Kim-Fay
COSTP0004,Cosy TP Emb. Wrap. 40s Singles White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0005,Cosy TP Emb. Unwrap. 6x8s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1.2,Bales of 40s,25%,Kim-Fay
COSTP0006,Cosy TP Emb. Unwrap. 4x10s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0007,Cosy TP Emb. Wrap. 40s Singles Prof,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
